Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2003-01-21
Data Final: 2023-09-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2014-09-30;152,8;1016,649571;19,756069;
2014-10-31;134,8;1016,998925;21,934274;
2014-11-30;90,4;1013,863056;23,215139;
2014-12-31;170,4;1012,413038;24,543548;
2015-01-31;176,6;1012,998253;26,217204;
2015-02-28;304,4;1012,522024;25,258929;
2015-03-31;143,6;1014,150403;24,225;
2015-04-30;null;null;null;
2015-05-31;null;1018,724551;19,836539;
2015-06-30;88,2;1020,110139;18,2225;
2015-07-31;268,4;1018,222043;18,006855;
2015-08-31;72,4;1018,202419;20,290323;
2015-09-30;189,6;1014,75625;19,325575;
2015-10-31;295,4;1016,342473;19,708871;
2015-11-30;167,8;1013,045556;21,844306;
2015-12-31;226,4;1012,14543;24,341398;
2016-01-31;237;1012,574866;25,410215;
2016-02-29;222,8;1012,604454;25,810058;
2016-03-31;268,8;1014,920027;24,228226;
2016-04-30;104;1014,209444;24,300694;
2016-05-31;71,8;1018,990726;18,112769;
2016-06-30;45,2;1022,0717;14,191404;
2016-07-31;116,6;1019,354839;15,915726;
2016-08-31;79;1018,102002;17,163514;
2016-09-30;116,2;1018,536582;18,47663;
2016-10-31;178;1016,029453;20,054944;
2016-11-30;48,4;1014,5;21,941528;
2016-12-31;249;1012,006317;23,779032;
2017-01-31;195;1012,205242;25,840323;
2017-02-28;129,6;1012,464286;26,434375;
2017-03-31;229,4;1014,973521;24,160484;
2017-04-30;141,4;1016,88125;21,780556;
2017-05-31;239;1017,434024;20,28625;
2017-06-30;172,4;1019,051081;18,350127;
2017-07-31;11,4;1024,841252;17,666504;
2017-08-31;124,2;1019,237903;18,694086;
2017-09-30;106,2;1019,457778;20,979861;
2017-10-31;133,4;1013,815726;21,352016;
2017-11-30;134,2;1012,936111;21,692778;
2017-12-31;192;1011,978495;23,827419;
2018-01-31;377,6;1011,950672;24,71371;
2018-02-28;129,4;1013,344494;24,228274;
2018-03-31;206,8;1012,151163;24,401104;
2018-04-30;118,4;1017,219861;23,578472;
2018-05-31;78;1018,666667;20,325134;
2018-06-30;71;1019,154861;17,045278;
2018-07-31;114,6;1019,154704;17,051882;
2018-08-31;71,4;1020,46371;16,276677;
2018-09-30;207,2;1016,221944;19,897639;
2018-10-31;105,6;1015,345296;20,8375;
2018-11-30;109,8;1014,714861;22,845972;
2018-12-31;148,8;1013,007258;24,527285;
2019-01-31;225,2;1013,154032;27,236156;
2019-02-28;257,2;1012,63631;24,763393;
2019-03-31;82,6;1015,282124;24,425672;
2019-04-30;87,2;1014,319861;23,339444;
2019-05-31;155,8;1015,833333;21,419355;
2019-06-30;57;1019,297802;19,944167;
2019-07-31;47;1019,975209;16,736364;
2019-08-31;18;1022,42815;17,213149;
2019-09-30;60,6;1018,484167;18,498472;
2019-10-31;76,4;1015,554973;21,542204;
2019-11-30;null;1013,935833;22,738333;
2019-12-31;109,2;1012,792473;24,058468;
2020-01-31;141,2;1011,48172;25,202285;
2020-02-29;194;1014,167816;24,578736;
2020-03-31;39,6;1015,794489;24,525806;
2020-04-30;15,2;1016,969167;21,813333;
2020-05-31;14,4;1016,908333;19,132796;
2020-06-30;117;1017,572911;18,945688;
2020-07-31;104;1018,639727;16,598691;
2020-08-31;109,2;1020,185192;17,43134;
2020-09-30;144;1017,900417;19,273611;
2020-10-31;143,2;1015,377823;21,140323;
2020-11-30;95,6;1015,27872;22,191836;
2020-12-31;319,8;1012,474194;23,803898;
2021-01-31;390,8;1012,380914;24,897446;
2021-02-28;243,4;1011,863542;24,724851;
2021-03-31;360;1012,568952;24,664651;
2021-04-30;79,2;1017,445556;21,954722;
2021-05-31;118;1017,477688;18,335484;
2021-06-30;300,2;1019,567717;17,056709;
2021-07-31;22,2;1021,381046;15,795463;
2021-08-31;55,2;1020,863844;17,604435;
2021-09-30;136,4;1017,1875;19,690417;
2021-10-31;289,6;1016,588441;19,724866;
2021-11-30;134,2;1013,500556;21,849722;
2021-12-31;89,6;1012,777285;23,473253;
2022-01-31;28;1011,735887;25,719086;
2022-02-28;71,2;1012,361905;25,493006;
2022-03-31;242;1013,33871;24,204167;
2022-04-30;29,8;1015,781667;21,694444;
2022-05-31;128,6;1016,939247;18,427688;
2022-06-30;110,2;1018,246944;16,328056;
2022-07-31;30;1017,725584;18,462891;
2022-08-31;228,2;1020,27836;17,076882;
2022-09-30;104,8;1018,700006;17,688678;
2022-10-31;206,2;1015,052419;20,3875;
2022-11-30;147,2;1016,483056;21,338889;
2022-12-31;477;1011,939516;23,666532;
2023-01-31;100,8;1012,146505;25,564919;
2023-02-28;304,2;1011,97247;25,058036;
2023-03-31;160,4;1014,11371;25,477688;
2023-04-30;102,6;1015,521806;21,808889;
2023-05-31;45;1018,363651;20,621277;
2023-06-30;113,6;1018,996268;18,552899;
2023-07-31;106,8;1020,034543;17,939651;
2023-08-31;118,8;1017,24844;18,454961;
2023-09-30;74;1015,357589;20,489435;

